Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb6, pred https://w3id.org/noria/ontology/networkInterfaceAdministrativeStatus, subject http://example.com/data/Eth0WebServerProd01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b9, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/business-importance, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b19, pred https://w3id.org/noria/ontology/troubleTicketNoteCommentType, subject http://example.com/data/TroubleTicketNote001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b18, pred https://w3id.org/noria/ontology/troubleTicketStatusCurrent, subject http://example.com/data/TroubleTicket001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Subject is a BN : n3c4eaf4a57bf460e809ecaaada18cb56b7, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/OperationalState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-19-31_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b28, pred https://w3id.org/noria/ontology/troubleTicketPriority, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b33, pred https://w3id.org/noria/ontology/troubleTicketPriority, subject http://example.com/noria-kg/TT_20240515_002, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b5, pred https://w3id.org/noria/ontology/applicationModuleSlaLevel, subject http://example.com/noria-kg/CoreBankingProdModule, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b20, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/OperationalState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b11, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/noria-kg/Router01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b15, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/noria-kg/FirewallFW01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b4, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Critical, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b6, pred http://www.w3.org/2004/02/skos/core#prefLabel, object In Production, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b2, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/org/agent-contact-method, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b21, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/AdministrativeState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b1, pred https://w3id.org/noria/ontology/agentPreferredContactMethod, subject http://example.com/noria-kg/JohnDoe, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b9, pred https://w3id.org/noria/ontology/applicationType, subject http://example.com/noria-kg/LogManagementSystem, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b37, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/operationType, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b26, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/severity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b17, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/LifecycleState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b10, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Router, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b23, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/service/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b19, pred http://www.w3.org/2004/02/skos/core#prefLabel, object up, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b31, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/severity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b32, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Failure, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b14, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b16, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b13, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/noria-kg/ServerDB01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b22, pred http://www.w3.org/2004/02/skos/core#prefLabel, object up, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b29, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Supervision, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b36, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/commentType, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b34, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/origin, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b25, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/Notification/Severity/PerceivedSeverity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b24, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Critical, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b3, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b8, pred http://www.w3.org/2004/02/skos/core#inScheme, object https://w3id.org/noria/kos/application/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b30, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b35, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b7, pred https://w3id.org/noria/ontology/applicationType, subject http://example.com/noria-kg/CustomerPortalApp, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b18, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/OperationalState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b12, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Database Server, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Object is a BN : n6970aaf28fb940c3b9d9829cdf4e8b18b27, pred https://w3id.org/noria/ontology/troubleTicketType, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-13_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb16, pred http://www.w3.org/2000/01/rdf-schema#label, object Major, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb13, pred https://w3id.org/noria/ontology/networkInterfaceOperationalStatus, subject http://example.com/data/CoreRouter01_Gi0_0_2, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb12, pred https://w3id.org/noria/ontology/networkInterfaceAdministrativeStatus, subject http://example.com/data/CoreRouter01_Gi0_0_1, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb20, pred https://w3id.org/noria/ontology/troubleTicketPriority, subject http://example.com/data/SecurityIncidentTT, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb5, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/data/WebServer01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb14, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/Notification/Severity/PerceivedSeverity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb8, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb1, pred https://w3id.org/noria/ontology/agentPreferredContactMethod, subject http://example.com/data/NetworkOps, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb17, pred http://www.w3.org/2000/01/rdf-schema#label, object P2, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb15, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/Notification/Severity/PerceivedSeverity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb4, pred https://w3id.org/noria/ontology/applicationModuleStatus, subject http://example.com/data/OnlineBankingProdModule, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb18, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb21, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb3, pred http://www.w3.org/2000/01/rdf-schema#label, object Platinum, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb6, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/data/WebServer01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb11, pred https://w3id.org/noria/ontology/networkInterfaceOperationalStatus, subject http://example.com/data/DBServer01_Eth0, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb19, pred http://www.w3.org/2000/01/rdf-schema#label, object Critical, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb9, pred https://w3id.org/noria/ontology/networkInterfaceAdministrativeStatus, subject http://example.com/data/WebServer01_Eth0, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb10, pred http://www.w3.org/2000/01/rdf-schema#label, object up, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb7, pred http://www.w3.org/2000/01/rdf-schema#label, object Physical Server, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Subject is a BN : nbd89a7ba3a6a4c9cb82eb606689c37acb2, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/business-importance, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-13-07_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb25, pred https://w3id.org/noria/ontology/troubleTicketOrigin, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb27, pred https://w3id.org/noria/ontology/troubleTicketCategory, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb20, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/OperationalState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb5, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Tier 1, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb36, pred https://w3id.org/noria/ontology/troubleTicketNoteCommentType, subject http://example.com/noria-kg/TT_20240515_001_Note1, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb8, pred https://w3id.org/noria/ontology/applicationModuleStatus, subject http://example.com/noria-kg/CustomerPortalDevModule, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb9, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/application/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb37, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Diagnosis, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb11, pred https://w3id.org/noria/ontology/resourceUsageState, subject http://example.com/noria-kg/Router01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb21, pred https://w3id.org/noria/ontology/serviceType, subject http://example.com/noria-kg/OnlineBankingService, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb41, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Standard, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb30, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/severity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb40, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Internal intervention, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb22, pred https://w3id.org/noria/ontology/troubleTicketSeverity, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb39, pred https://w3id.org/noria/ontology/troubleTicketNoteOperationType, subject http://example.com/noria-kg/TT_20240515_001_Note2, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb19, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/AdministrativeState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb33, pred http://purl.org/dc/terms/type, subject http://example.com/noria-kg/Event_DB_Failure, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb6, pred http://www.w3.org/2004/02/skos/core#prefLabel, object In Production, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb42, pred https://w3id.org/noria/ontology/changeRequestChangeCause, subject http://example.com/noria-kg/CR_20240520_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb7, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Web Service, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
